,sid,cond,dimtype,ruletype,counter,ruledir,rulerelation,block,acc,dist_mn,dist_med,avg_dist_med,nsel,mn_nsel,mn_nsel_early,mn_nsel_late
118,253,3,absolute,2D,0,comp,2D-P,6,0.75,0.8724785284,0.977566978599,0.813865241641,3,2.375,2.5,2.25
119,253,3,absolute,2D,0,comp,2D-P,7,0.84375,1.05002913089,0.560471734397,0.813865241641,1,2.375,2.5,2.25
120,254,1,absolute,1D,0,negative,1D-F,0,1.0,1.137,1.1796,0.7905,12,4.75,7.25,2.25
121,254,1,absolute,1D,0,negative,1D-F,1,1.0,0.76075,0.396,0.7905,11,4.75,7.25,2.25
122,254,1,absolute,1D,0,negative,1D-F,2,1.0,0.78615,0.81,0.7905,4,4.75,7.25,2.25
123,254,1,absolute,1D,0,negative,1D-F,3,1.0,0.78635,0.8916,0.7905,2,4.75,7.25,2.25
124,254,1,absolute,1D,0,negative,1D-F,4,1.0,0.66845,0.658,0.7905,3,4.75,7.25,2.25
125,254,1,absolute,1D,0,negative,1D-F,5,1.0,0.73895,0.4496,0.7905,2,4.75,7.25,2.25
126,254,1,absolute,1D,0,negative,1D-F,6,1.0,0.61305,0.5704,0.7905,2,4.75,7.25,2.25
127,254,1,absolute,1D,0,negative,1D-F,7,1.0,1.32035,1.3688,0.7905,2,4.75,7.25,2.25
128,255,3,absolute,2D,0,comp,2D-P,0,0.5,1.18472971415,1.26138725805,1.01687331753,12,1.5,3.0,0.0
129,255,3,absolute,2D,0,comp,2D-P,1,0.71875,1.2020000641,0.934554031541,1.01687331753,0,1.5,3.0,0.0
130,255,3,absolute,2D,0,comp,2D-P,2,0.65625,1.13572916934,1.07206511986,1.01687331753,0,1.5,3.0,0.0
131,255,3,absolute,2D,0,comp,2D-P,3,0.71875,1.2870891232,1.45787822075,1.01687331753,0,1.5,3.0,0.0
132,255,3,absolute,2D,0,comp,2D-P,4,0.75,0.954960742219,0.668329957702,1.01687331753,0,1.5,3.0,0.0
133,255,3,absolute,2D,0,comp,2D-P,5,0.71875,1.08587325344,0.947914113581,1.01687331753,0,1.5,3.0,0.0
134,255,3,absolute,2D,0,comp,2D-P,6,0.96875,1.21629698116,0.947588257922,1.01687331753,0,1.5,3.0,0.0
135,255,3,absolute,2D,0,comp,2D-P,7,0.90625,0.910562908607,0.845269580829,1.01687331753,0,1.5,3.0,0.0
136,256,2,relative,2D,0,comp,2D-P,0,0.84375,1.22794632099,0.741403089352,1.08451891585,9,1.125,2.25,0.0
137,256,2,relative,2D,0,comp,2D-P,1,0.90625,1.18145079157,1.2096576721,1.08451891585,0,1.125,2.25,0.0
138,256,2,relative,2D,0,comp,2D-P,2,0.90625,1.17828388188,0.904982630438,1.08451891585,0,1.125,2.25,0.0
139,256,2,relative,2D,0,comp,2D-P,3,0.90625,1.53846639855,1.50708242534,1.08451891585,0,1.125,2.25,0.0
140,256,2,relative,2D,0,comp,2D-P,4,0.90625,1.22607265095,1.05862357391,1.08451891585,0,1.125,2.25,0.0
141,256,2,relative,2D,0,comp,2D-P,5,0.90625,1.22421934689,0.859036982444,1.08451891585,0,1.125,2.25,0.0
142,256,2,relative,2D,0,comp,2D-P,6,0.875,1.35548826273,1.14008748879,1.08451891585,0,1.125,2.25,0.0
143,256,2,relative,2D,0,comp,2D-P,7,0.9375,1.33894090502,1.25527746444,1.08451891585,0,1.125,2.25,0.0
144,257,3,absolute,2D,1,positive,2D-N,0,0.625,2.20539110372,2.56480989618,1.32578448277,13,1.75,3.5,0.0
145,257,3,absolute,2D,1,positive,2D-N,1,0.5625,1.0892540059,0.930317907967,1.32578448277,1,1.75,3.5,0.0
146,257,3,absolute,2D,1,positive,2D-N,2,0.59375,1.38008018204,0.856348673253,1.32578448277,0,1.75,3.5,0.0
147,257,3,absolute,2D,1,positive,2D-N,3,0.6875,1.38618997565,1.5468368158,1.32578448277,0,1.75,3.5,0.0
148,257,3,absolute,2D,1,positive,2D-N,4,0.59375,1.43445734522,1.28452300988,1.32578448277,0,1.75,3.5,0.0
